album_id,album_name,track_id,track_name,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,id_num,key_lettername,mode_translated,combined_key,duration_minutes
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,0Om9WAB5RS09L80DyOfTNa,Tim McGraw,10/24/2006,0.546,0.506,0,-6.334,1,0.0269,0.567,0,0.122,0.39,152.175,audio_features,0Om9WAB5RS09L80DyOfTNa,spotify:track:0Om9WAB5RS09L80DyOfTNa,https://api.spotify.com/v1/tracks/0Om9WAB5RS09L80DyOfTNa,https://api.spotify.com/v1/audio-analysis/0Om9WAB5RS09L80DyOfTNa,232107,4,1,C,Major,C Major,0:03:52
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,32mVHdy0bi1XKgr0ajsBlG,Picture To Burn,10/24/2006,0.668,0.861,7,-2.03,1,0.0312,0.16,0,0.102,0.829,105.587,audio_features,32mVHdy0bi1XKgr0ajsBlG,spotify:track:32mVHdy0bi1XKgr0ajsBlG,https://api.spotify.com/v1/tracks/32mVHdy0bi1XKgr0ajsBlG,https://api.spotify.com/v1/audio-analysis/32mVHdy0bi1XKgr0ajsBlG,173067,4,2,G,Major,G Major,0:02:53
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,7zMcNqs55Mxer82bvZFkpg,Teardrops On My Guitar - Radio Single Remix,10/24/2006,0.617,0.422,10,-6.794,1,0.0239,0.303,0,0.123,0.264,99.966,audio_features,7zMcNqs55Mxer82bvZFkpg,spotify:track:7zMcNqs55Mxer82bvZFkpg,https://api.spotify.com/v1/tracks/7zMcNqs55Mxer82bvZFkpg,https://api.spotify.com/v1/audio-analysis/7zMcNqs55Mxer82bvZFkpg,203040,4,3,Bb,Major,Bb Major,0:03:23
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,73OX8GdpOeGzKC6OvGSbsv,A Place in this World,10/24/2006,0.58,0.781,9,-2.788,1,0.0305,0.0625,0,0.317,0.386,115.012,audio_features,73OX8GdpOeGzKC6OvGSbsv,spotify:track:73OX8GdpOeGzKC6OvGSbsv,https://api.spotify.com/v1/tracks/73OX8GdpOeGzKC6OvGSbsv,https://api.spotify.com/v1/audio-analysis/73OX8GdpOeGzKC6OvGSbsv,199200,4,4,A,Major,A Major,0:03:19
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,7an1exwMnfYRcdVQm0yDev,Cold As You,10/24/2006,0.414,0.489,5,-5.651,1,0.0251,0.272,0,0.112,0.35,175.662,audio_features,7an1exwMnfYRcdVQm0yDev,spotify:track:7an1exwMnfYRcdVQm0yDev,https://api.spotify.com/v1/tracks/7an1exwMnfYRcdVQm0yDev,https://api.spotify.com/v1/audio-analysis/7an1exwMnfYRcdVQm0yDev,239013,4,5,F,Major,F Major,0:03:59
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,2QA3IixpRcKyOdG7XDzRgv,The Outside,10/24/2006,0.579,0.808,5,-3.988,1,0.0275,0.00398,0,0.239,0.608,112.979,audio_features,2QA3IixpRcKyOdG7XDzRgv,spotify:track:2QA3IixpRcKyOdG7XDzRgv,https://api.spotify.com/v1/tracks/2QA3IixpRcKyOdG7XDzRgv,https://api.spotify.com/v1/audio-analysis/2QA3IixpRcKyOdG7XDzRgv,207107,4,6,F,Major,F Major,0:03:27
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,6K0CJLVXqbGMeJSmJ4ENKK,Tied Together with a Smile,10/24/2006,0.464,0.591,2,-4.693,1,0.0286,0.512,0,0.0944,0.207,146.172,audio_features,6K0CJLVXqbGMeJSmJ4ENKK,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK,https://api.spotify.com/v1/tracks/6K0CJLVXqbGMeJSmJ4ENKK,https://api.spotify.com/v1/audio-analysis/6K0CJLVXqbGMeJSmJ4ENKK,248107,4,7,D,Major,D Major,0:04:08
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,2ZoOmCSgj0ypVAmGd1ve4y,Stay Beautiful,10/24/2006,0.59,0.643,8,-4.725,1,0.0243,0.098,0,0.136,0.508,131.646,audio_features,2ZoOmCSgj0ypVAmGd1ve4y,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y,https://api.spotify.com/v1/tracks/2ZoOmCSgj0ypVAmGd1ve4y,https://api.spotify.com/v1/audio-analysis/2ZoOmCSgj0ypVAmGd1ve4y,236053,4,8,Ab,Major,Ab Major,0:03:56
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,16MVSD0mGI4RMQT83Qzm69,Should've Said No,10/24/2006,0.474,0.773,4,-3.662,0,0.0307,0.0113,0,0.254,0.467,167.974,audio_features,16MVSD0mGI4RMQT83Qzm69,spotify:track:16MVSD0mGI4RMQT83Qzm69,https://api.spotify.com/v1/tracks/16MVSD0mGI4RMQT83Qzm69,https://api.spotify.com/v1/audio-analysis/16MVSD0mGI4RMQT83Qzm69,242200,4,9,D,minor,D minor,0:04:02
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,2QrQCMel6v2JiLxqrg4p2O,Mary's Song (Oh My My My),10/24/2006,0.495,0.635,2,-5.235,1,0.0279,0.0275,0,0.182,0.404,150.802,audio_features,2QrQCMel6v2JiLxqrg4p2O,spotify:track:2QrQCMel6v2JiLxqrg4p2O,https://api.spotify.com/v1/tracks/2QrQCMel6v2JiLxqrg4p2O,https://api.spotify.com/v1/audio-analysis/2QrQCMel6v2JiLxqrg4p2O,213080,4,10,D,Major,D Major,0:03:33
